Quem era o homem mais sedutor do mundo?;DOM JUAN;DOM ANTÔNIO;DOM MARCO;DOM CARLOS;1;F
De quantos anos é constituído um século?;50;100;1.000;1.500;2;F
Qual é o coletivo de cães?;MATILHA;REBANHO;CARDUME;MANADA;1;F
Segundo a Bíblia, em que rio Jesus foi batizado por João Batista?;NO RIO NILO;NO RIO SENA;NO RIO RENO;NO RIO JORDÃO;4;F
Qual é a maior floresta do planeta?;NEGRA;DE SHERWOOD;DA TIJUCA;AMAZÔNICA;4;F
Qual é o naipe do baralho que tem o desenho de coração?;OUROS;PAUS;COPAS;ESPADAS;3;F
Qual atriz estrelou no filme: “A lagoa azul”?;ALICIA SILVERSTONE;BROOKE SHIELDS;JULIA ROBERTS;JESSICA LANGE;2;F
Qual casal foi expulso do Paraíso?;SANSÃO E DALILA;JOSÉ E MARIA;SARA E ABRAÃO;ADÃO E EVA;4;F
Segundo os contos, qual animal ao ser beijado se transforma em príncipe?;CAVALO;CÃO;GATO;SAPO;4;F
Qual é o santo que só acreditou vendo?;SANTO ANTÔNIO;SÃO JUDAS TADEU;SÃO PEDRO;SÃO TOMÉ;4;F
Qual é o fruto conhecido no nordeste do Brasil como “jerimum”?;CAJU;ABÓBORA;CHUCHU;COCO;2;F
Em qual parte do corpo humano são implantadas as “pontes de safena”?;ESTÔMAGO;INTESTINO;PULMÃO;CORAÇÃO;4;F
Como é conhecido o jogador Edmundo?;TIGRÃO;GATINHO;ANIMAL;COBRA;3;F
Na literatura, quem foi o criador da boneca Emília?;MONTEIRO LOBATO;MAURÍCIO DE SOUZA;WALT DISNEY;JORGE AMADO;1;F
Quem é o primeiro substituto do Presidente?;VEREADOR;VICE-PRESIDENTE;SENADOR;DEPUTADO;2;F
Segundo o romance, que animal era “Moby Dick”?;TUBARÃO;GOLFINHO;POLVO;BALEIA;4;F
Qual é o animal que representa o signo de áries?;TOURO;LEÃO;CARNEIRO;BODE;3;F
Que animal é o Pateta?;CAVALO;BURRO;CACHORRO;RAPOSA;3;F
Em qual cidade está o Cristo Redentor do Corcovado?;RIO DE JANEIRO;SÃO PAULO;CURITIBA;BELO HORIZONTE;1;F
Quem é conhecido como o “playboy brasileiro”?;JOÃOZINHO TRINTA;ZECA PAGODINHO;CHIQUINHO SCARPA;CHICO BUARQUE;3;F
