Qual a nacionalidade do escritor Gabriel GarcÌa M·rquez?;ARGENTINA;COLOMBIANA;ESPANHOLA;CHILENA;2;DIFICIL
Quem compÙs ìAs bachianas brasileirasî?;WAGNER TISO;CARLOS GOMES;C√âSAR CAMARGO;MARIANO VILLA-LOBOS;4;DIFICIL
SuÁuarana È outro nome de que animal?;LONTRA;GIRAFA;ON√áA-PARDA;ZEBRA;3;DIFICIL
Em que È baseado o calend·rio judaico?;NA LUA;NO SOL;NAS ESTRELAS;NOS PLANETAS;1;DIFICIL
Que nome damos ‡ ciÍncia que estuda as rochas?;TECNONISMIA;PETROGRAFIA;MINERALISTA;ROCH√çSTICA;2;DIFICIL
Quem disse a polÍmica frase ìSomos mais populares que Jesus Cristoî?;MARTIN LUTHER KING;MADONNA;JOHN LENNON;ELVIS PRESLEY;3;DIFICIL
Que peÁa da Broadway È baseada na Ûpera ìLa bohemeî de Puccini?;RENT;SHOWBOAT;LES MISERABLES;CATS;1;DIFICIL
Quem popularizou a escultura com partes mÛveis, conhecida como MÛbile?;PABLO PICASSO;ALEXANDER CALDER;AUGUSTE RODIN;HENRY MOORE;2;DIFICIL
Qual destes nomes n„o pertence a um bailarino?;IGOR STRAVINSKY;VASLAV NIJINSKY;RUDOLF NUREYEV;MIKHAIL BARISHNIKOV;1;DIFICIL
Quem desenvolveu a primeira vacina contra a pÛlio?;ALBERT SABIN;NIELS BOHR;LOUIS PASTEUR;JONAS SALK;4;DIFICIL
Qual foi o personagem de vampiro criado pela novelista Anne Rice?;NOSFERATU;DR√ÅCULA;LESTAT;VLAD;3;DIFICIL
A filha caÁula de qual campe„o de boxe ganhou a 1™ luta em 1999?;MIKE TYSON;GEORGE FOREMAN;MUHAMED ALI;SUGAR RAY LEONARD;3;DIFICIL
Andy Warhol causou polÍmica ao pintar o que em suas telas?;CAIXAS DE F√ìSFOROS;LATAS DE SOPA;MULHERES NUAS;TUBOS DE PASTA DENTAL;2;DIFICIL
Qual campe„o de pesos pesados aposentou-se invicto?;MUHAMED ALI;ROCKY MARCIANO;JOE LOUIS;JACK DEMPSEY;2;DIFICIL
Quem inventou o relÛgio de pÍndulo?;GERALDO MERCATOR;CL√ÅUDIO PTOLOMEU;GALILEU GALILEI;CHARLES DARWIN;3;DIFICIL
O prÍmio Nobel da Paz È anualmente entregue em que cidade?;COPENHAGUE;HELSINQUE;ESTOCOLMO;OSLO;4;DIFICIL
Em que paÌs nasceu o tenista Fernando Meligeni?;ARGENTINA;BRASIL;BOL√çVIA;URUGUAI;1;DIFICIL
A famosa escultura ìO beijoî È de autoria de:;DE CHIRICO;CAMILLE CLAUDEL;VICTOR BRECHERET;AUGUSTE RODIN;4;DIFICIL
Como se chama o carbonato de c·lcio do teto de uma caverna?;ESTAGMENTO;ESTALAGMITE;ESTIAGEM;ESTALACTITE;4;DIFICIL
Quem escreveu ìîOs miser·veisî?;EMILE ZOLA;VICTOR HUGO;FLAUBERT;BALZAC;2;DIFICIL
O condimento arom·tico cravo-da-Ìndia È:;UMA RA√çZ;UMA ERVA CAMPESTRE;O BOT√ÉO DE UMA FLOR;UMA NOZ;3;DIFICIL
Quem tem uma empresa de alimentos e doou mais de US$ 90 milhıes em caridade?;JACK NICHOLSON;ROBERT REDFORD;BEN AFFLECK;PAUL NEWMAN;4;DIFICIL
Como se chama a pessoa versada em literatura grega?;GREG√ÅRIO;GREG√ìRIO;HELENISTA;HELENO;3;DIFICIL
Quantas cordas tem um violino comum?;TR√äS;QUATRO;CINCO;SEIS;2;DIFICIL
Onde est· situado o porto de Pearl Harbour?;ILHAS VIRGENS;HAVA√ç;ILHAS KURILES;ILHAS H√çBRIDAS;2;DIFICIL
Em que atividade se destacou Albert Camus?;LITERATURA;PINTURA;ECONOMIA;MEDICINA;1;DIFICIL
Que parte da matem·tica estuda especificamente os tri‚ngulos?;NUMEROLOGIA;TRIGONOMETRIA;√ÅLGEBRA;SISTEMA BIN√ÅRIO;2;DIFICIL
Quem È o autor do conto cl·ssico ìChapeuzinho Vermelhoî, de 1697?;CHARLES PERRAULT;LEWIS CARROL;BERTOLT BRECHT;EDGAR ALLAN POE;1;DIFICIL
Em que cidade nasceu Giorgio Armani?;MIL√ÉO;FLOREN√áA;VENEZA;PIACENZA;4;DIFICIL
Em que ano morreu o cantor Raul Seixas?;1989;1990;1991;1992;1;DIFICIL
O que significa a palavra Ûsculo?;VISTORIA;BEIJO;OSSO;EXAME;2;DIFICIL
Em que cidade nasceu o presidente Arthur Bernardes?;RECIFE;FLORIAN√ìPOLIS;VI√áOSA;SOROCABA;3;DIFICIL
O que È cassiterita?;UM TIPO DE QUEIJO;UMA DAN√áA SUECA;UM MINERAL;UMA BEBIDA BASCA;3;DIFICIL
Quem construiu a primeira ferrovia no Brasil?;BAR√ÉO DE CAPANEMA;DOM PEDRO II;BAR√ÉO DE MAU√Å;JOS√â BONIF√ÅCIO;3;DIFICIL
Qual teoria Nicolau CopÈrnico defendeu em 1542?;EXC√äNTRICA;HELIOC√äNTRICA;EGOC√äNTRICA;DA RELATIVIDADE;2;DIFICIL
Em que estado norteamericano est· a cidade de Houston?;CALIF√ìRNIA;UTAH;TEXAS;NEVADA;3;DIFICIL
Qual era o sobrenome de solteira de Lady Diana?;SPENCER;SMITH;TUDOR;FERGUSON;1;DIFICIL
Que nome se d· ‡ igreja presidida por um bispado?;CATEDRAL;PAR√ìQUIA;CAPELA;MONAST√âRIO;1;DIFICIL
Quem compÙs a Ûpera ìA flauta m·gicaî?;WOLFGANG MOZART;GIACOMO PUCCINI;RICHARD WAGNER;GIUSEPPE VERDI;1;DIFICIL
Em que paÌs fica o Taj Mahal?;EGITO;CHINA;TURQUIA;√çNDIA;4;DIFICIL
A lua È:;UM ASTER√ìIDE;UM PLANETA;UM SAT√âLITE;UMA ESTRELA;3;DIFICIL
Como se chamava a polÌcia secreta da URSS?;CIA;FBI;KGB;CPI;3;DIFICIL
Qual era o destino do navio Titanic quando saiu da Inglaterra?;ESTADOS UNIDOS;CHINA;FRAN√áA;CANAD√Å;1;DIFICIL
Qual dessas doenÁas È tambÈm chamada de varicela?;RUB√âOLA;SARAMPO;CATAPORA;CAXUMBA;3;DIFICIL
Qual documento libertava os escravos antes da Lei ¡urea?;CARTA DE RECLAMA√á√ÉO;CARTA DE ALFORRIA;CARTA DE HABILITA√á√ÉO;CARTA DA LIBERDADE;2;DIFICIL
Qual dos seguintes personagens foi um orador grego?;DEM√ìSTENES;DEOCLECIANO;DEM√âRITO;DEMONTRE;1;DIFICIL
Qual a maior ilha fluviomarÌtima do mundo?;ILHA DE MARAJ√ì;FERNANDO DE NORONHA;ILHA DO; EL;1;DIFICIL
Quem foi o primeiro presidente a ser eleito por voto popular na R˙ssia?;BORIS YELTSIN;STALIN MIKHAIL;MIKHAIL GORBATCHEV;LENIN;1;DIFICIL
Quem liderou a revoluÁ„o contra a ditadura de Fulgencio Batista?;CHE GUEVARA;FIDEL CASTRO;JUAN PER√ìN;AUGUSTO PINOCHET;2;DIFICIL
Qual È o nome do sindicato que Lech Walesa fundou na PolÙnia em 1980?;TRABALHISTA;CONSERVADOR;COMUNISTA;SOLIDARIEDADE;4;DIFICIL
Em que ano o muro de Berlim foi derrubado?;1975;1984;1990;1989;4;DIFICIL
AtÈ a chegada de CortÈs na AmÈrica, Montezuma II era o lÌder de qual povo?;MAIA;ASTECA;INCA;GUARANI;2;DIFICIL
Quem È o famoso detetive personagem das obras de Agatha Christie?;HERCULANO;SAM WOOD;SHERLOCK HOLMES;HERCULE POIROT;4;DIFICIL
Quem era o deus supremo da mitologia grega?;HERMES;ZEUS;APOLO;NETUNO;2;DIFICIL
Qual era o deus romano da guerra?;MARTE;J√öPITER;HADES;NETUNO;1;DIFICIL
Qual È o nome de VÍnus pela mitologia grega?;√ÅRTEMIS;DIANA;AFRODITE;√çSIS;3;DIFICIL
Qual È a caracterÌstica reprodutiva das mulas?;UMA CRIA POR ANO;DUAS CRIAS POR ANO;UMA CRIA A CADA DOIS ANOS;S√ÉO EST√âREIS;4;DIFICIL
Qual È a profiss„o do exjogador da seleÁ„o brasileira Tost„o?;ARQUITETO;ENGENHEIRO;DENTISTA;M√âDICO;4;DIFICIL
Em que assunto um enÛlogo È especialista?;MOEDAS;VINHOS;LIVROS;√çNDIOS;2;DIFICIL
